cellI,x,y,z,V
406,0.07525,0.00075,0.001,5e-10
407,0.07575,0.00075,0.001,5e-10
408,0.07625,0.00075,0.001,5e-10
409,0.07675,0.00075,0.001,5e-10
410,0.07725,0.00075,0.001,5e-10
411,0.07775,0.00075,0.001,5e-10
412,0.07825,0.00075,0.001,5e-10
413,0.07875,0.00075,0.001,5e-10
414,0.07925,0.00075,0.001,5e-10
415,0.07975,0.00075,0.001,5e-10
416,0.08025,0.00075,0.001,5e-10
417,0.08075,0.00075,0.001,5e-10
418,0.08125,0.00075,0.001,5e-10
419,0.08175,0.00075,0.001,5e-10
420,0.08225,0.00075,0.001,5e-10
421,0.08275,0.00075,0.001,5e-10
422,0.08325,0.00075,0.001,5e-10
423,0.08375,0.00075,0.001,5e-10
424,0.08425,0.00075,0.001,5e-10
425,0.08475,0.00075,0.001,5e-10
426,0.08525,0.00075,0.001,5e-10
427,0.08575,0.00075,0.001,5e-10
428,0.08625,0.00075,0.001,5e-10
429,0.08675,0.00075,0.001,5e-10
430,0.08725,0.00075,0.001,5e-10
431,0.08775,0.00075,0.001,5e-10
432,0.08825,0.00075,0.001,5e-10
433,0.08875,0.00075,0.001,5e-10
434,0.08925,0.00075,0.001,5e-10
435,0.08975,0.00075,0.001,5e-10
436,0.09025,0.00075,0.001,5e-10
437,0.09075,0.00075,0.001,5e-10
438,0.09125,0.00075,0.001,5e-10
439,0.09175,0.00075,0.001,5e-10
440,0.09225,0.00075,0.001,5e-10
441,0.09275,0.00075,0.001,5e-10
442,0.09325,0.00075,0.001,5e-10
443,0.09375,0.00075,0.001,5e-10
444,0.09425,0.00075,0.001,5e-10
445,0.09475,0.00075,0.001,5e-10
446,0.09525,0.00075,0.001,5e-10
447,0.09575,0.00075,0.001,5e-10
448,0.09625,0.00075,0.001,5e-10
449,0.09675,0.00075,0.001,5e-10
450,0.09725,0.00075,0.001,5e-10
451,0.09775,0.00075,0.001,5e-10
452,0.09825,0.00075,0.001,5e-10
453,0.09875,0.00075,0.001,5e-10
454,0.09925,0.00075,0.001,5e-10
455,0.09975,0.00075,0.001,5e-10
456,0.10025,0.00075,0.001,5e-10
457,0.10075,0.00075,0.001,5e-10
458,0.10125,0.00075,0.001,5e-10
459,0.10175,0.00075,0.001,5e-10
460,0.10225,0.00075,0.001,5e-10
461,0.10275,0.00075,0.001,5e-10
462,0.10325,0.00075,0.001,5e-10
463,0.10375,0.00075,0.001,5e-10
464,0.10425,0.00075,0.001,5e-10
465,0.10475,0.00075,0.001,5e-10
466,0.10525,0.00075,0.001,5e-10
467,0.10575,0.00075,0.001,5e-10
468,0.10625,0.00075,0.001,5e-10
469,0.10675,0.00075,0.001,5e-10
470,0.10725,0.00075,0.001,5e-10
471,0.10775,0.00075,0.001,5e-10
472,0.10825,0.00075,0.001,5e-10
473,0.10875,0.00075,0.001,5e-10
474,0.10925,0.00075,0.001,5e-10
475,0.10975,0.00075,0.001,5e-10
476,0.11025,0.00075,0.001,5e-10
477,0.11075,0.00075,0.001,5e-10
478,0.11125,0.00075,0.001,5e-10
479,0.11175,0.00075,0.001,5e-10
480,0.11225,0.00075,0.001,5e-10
481,0.11275,0.00075,0.001,5e-10
482,0.11325,0.00075,0.001,5e-10
483,0.11375,0.00075,0.001,5e-10
484,0.11425,0.00075,0.001,5e-10
485,0.11475,0.00075,0.001,5e-10
486,0.11525,0.00075,0.001,5e-10
487,0.11575,0.00075,0.001,5e-10
488,0.11625,0.00075,0.001,5e-10
489,0.11675,0.00075,0.001,5e-10
490,0.11725,0.00075,0.001,5e-10
491,0.11775,0.00075,0.001,5e-10
492,0.11825,0.00075,0.001,5e-10
493,0.11875,0.00075,0.001,5e-10
